district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc,form_edu_mean,form_edu_median,ern_reg_mean,ern_self_mean,age_group_age_<18,age_group_age_18-35,age_group_age_35-60,age_group_age_60+,marst_1,marst_2,marst_3,gedu_lvl_1,gedu_lvl_5,gedu_lvl_6,gedu_lvl_7,gedu_lvl_8,gedu_lvl_10,gedu_lvl_12,gedu_lvl_13,tedu_lvl_1,voc_1.0,voc_2.0,voc_3.0,voc_4.0,voc_6.0,voc_typ_3.0,voc_fund_2.0,has_sas_1,has_sas_2,loc_pas_11.0,loc_pas_14.0,loc_pas_16.0,loc_pas_18.0,loc_pas_19.0,loc_pas_24.0,loc_pas_26.0,loc_pas_28.0,loc_pas_99.0,etyp_pas_1.0,etyp_pas_2.0,etyp_pas_5.0,wrkr_pas_1.0,wrkr_pas_2.0,wrkr_pas_3.0,wrkr_pas_4.0,job_pas_1.0,job_pas_4.0,leave_pas_1.0,leave_pas_2.0,ssec_pas_7.0,ssec_pas_8.0,ecoprd_pas_2.0,ecoprd_pas_3.0,etyp_sas_1.0,etyp_sas_2.0,wrkr_sas_1.0,ecoprd_sas_3.0,wrk_365_1.0,dur_pas_2.0,dur_pas_3.0,dur_pas_4.0,dur_pas_5.0,dur_sas_4.0,dur_sas_5.0,eff_pas_1.0,dur_unp_3.0,evr_wrk_1.0,evr_wrk_2.0,acws_11,acws_12,acws_21,acws_31,acws_51,acws_81,acws_91,acws_92,acws_94,acws_95,acws_97,acws_99,marst_4,gedu_lvl_11,loc_pas_10.0,etyp_pas_8.0,dur_sas_3.0,job_sas_1.0,leave_sas_2.0,ssec_sas_8.0,acws_93,hh_size_mean,hh_size_median,hce1_mean,hce1_median,hce2_mean,hce3_mean,hce3_median,hce4_mean,hce4_median,hce5_mean,hce5_median,hce_tot_mean,hce_tot_median,mult_total,relg_2_pct,relg_1_pct,sg_9_pct,sg_3_pct,sg_1_pct,sg_2_pct,distance
Nicobars,Andaman & Nicobar Islands,22.98,973.31,927.41,97.9,98.81,83.45,56.93,99.42,2.65,53.53,11.36,1.77,100.0,65.3,57.24,46.36,2.72,2.0,4.92,1.24,9.53,40.42,49.39,71.65,78.01,43.91,97.86,2278.2,96.65,11.52,94.08,100,0.01,5.65,1.75,18.71,21.59,15.69,7.76,24.6,1.49,8.18,39.11,62.51,37.67,38.3,47.98,13.05,15.39,35.36,46.97,13.35,13.16,5.37,63.46,76.79,29.59,64.49,0.803,35.0,1.0,6.6617607735234845,7.0,1521.241377305844,908.7060145713842,0.1817412029142768,0.2528396760192218,0.1716444155944815,0.3937747054720198,0.3289858161525344,0.4539334986823748,0.2170806851650907,0.2675643795535576,0.1051743431250968,0.1098020171291272,0.1480853259184622,0.2267569950395287,0.050062975,0.092553965,,1.0,,0.4365826858174397,,,0.5634173141825602,,,0.095918995,0.9040810048829638,,,0.1590909728161056,,,,,,,0.6623374317131414,0.1785715954707529,0.1590909728161056,0.7110394556678676,0.1298695715160266,,0.1590909728161056,,0.5510201683733117,1.0,,0.5510201683733117,,,,1.0,,0.9122811004633664,1.0,1.0,,,0.071428638,0.9285713618116987,,0.7587717636958196,,1.0,0.616411671,0.3835883293933289,0.054690649,,0.1632305068981553,0.041228346,,0.02313837,0.094656836,,0.1581830820802976,0.2124532533715703,,0.087084367,,,,,0.2412282363041804,1.0,1.0,1.0,0.1653345895985118,4.792329746607701,5.0,9082.645587398869,11000.0,585.8861765969054,391.5318452484591,450.0,8304.417244141101,9000.0,6378.008844935056,4250.0,11283.46000394656,13425.0,861510.0,0.0,0.0,0.0,0.0,1.0,0.0,
North & Middle Andaman,Andaman & Nicobar Islands,19.82,949.82,844.43,93.24,92.2,86.38,61.25,99.86,2.07,41.03,15.38,3.83,100.0,84.09,73.11,48.34,6.43,7.84,9.29,0.0,5.78,23.19,83.17,79.19,91.11,24.08,99.23,1903.71,95.01,12.91,*,*,*,4.54,6.98,5.92,27.02,26.97,8.31,42.8,0.83,8.55,35.89,79.33,30.38,62.07,47.82,16.72,18.28,27.4,32.2,1.7,0.25,15.84,46.77,70.47,5.08,45.26,*,35.0,2.0,7.784869649,8.0,5107.673524316532,3903.931046994874,0.2307924081536733,0.2202940312828659,0.4348279964522852,0.1140855641111754,0.3750554982671168,0.5665275135118968,0.0521605,0.1178853503306388,0.1430368970150091,0.1680080173980445,0.2202551619336004,0.088189866,0.1452384321942288,0.069678779,0.018168206,0.9587997102495636,0.1015190007268406,0.3023307115184351,0.029709909,0.025677708,0.5375493556412327,0.039318249,0.9437259753112748,0.1934252376323435,0.8065747623676565,0.010627217,0.059668812,0.4573006606311371,0.2602958295286686,0.098205895,,0.015700498,,0.032500825,0.7327246927913561,0.008761106,0.2155074655003789,0.7308873576554581,0.059426536,0.039526684,0.1701594231873029,0.5811123412451957,0.2930493466341022,0.395664055,0.604335945,0.2356233169841044,0.5869558547839161,,0.9990327841538098,0.9324539235045954,0.018253558,0.9621502712017356,0.751483338,0.9606432740910446,0.029476233,0.00136246,0.02808464,0.9410766674410656,0.006507945,0.8506673554387849,0.080179457,0.1974388629532709,0.2237315308327515,0.7762684691672485,0.084647856,0.056080246,0.1483980725118633,0.1317203269751568,0.077471928,0.046587582,0.2170341796804697,0.048430705,0.069813508,0.001394379,,0.027024828,0.006256488,0.028542785,0.000788872,,0.030556627,0.9111301432308708,0.8658674071294827,0.8984564070863026,0.076799254,3.373143960997324,3.0,15898.619482567665,15000.0,378.18944266012255,183.17755923737556,100.0,13207.901206474202,11000.0,15049.074235056718,7000.0,18814.755015739094,16958.5,33520982.0,0.011904762,0.8214285714285714,0.5952380952380952,0.3988095238095238,0.005952381,0.0,7907.482451
South Andaman,Andaman & Nicobar Islands,20.95,967.48,934.92,99.58,97.94,89.33,91.92,99.67,1.15,57.5,17.06,2.81,98.19,57.13,50.5,34.02,2.82,1.75,10.57,0.29,17.6,31.18,88.17,85.94,92.05,61.93,98.91,3460.04,83.83,37.14,96.57,93.11,4.33,5.99,0.0,23.49,21.11,12.62,3.46,17.43,7.21,10.0,39.01,78.15,43.35,57.66,43.17,18.41,18.1,22.95,26.9,1.32,0.67,8.0,19.6,50.76,1.72,32.81,0.95,35.0,3.0,8.282898694614167,9.0,8542.546285253025,3672.0482509187736,0.2167179038197491,0.3156646501997811,0.38037766,0.087239786,0.3986550669816834,0.5349398221798012,0.058911966,0.1590809977846859,0.094607968,0.1039541326257136,0.2185351468108098,0.1084405062055007,0.1354725649476585,0.117340236,0.028781117,0.9526779663882288,0.2024128383783854,0.038413622,0.056318169,0.060970102,0.6328142053256179,0.086430002,0.9183175319844658,0.035672358,0.9643276416347154,,0.016008352,0.063106146,0.047984756,0.049907582,0.064772243,0.549866289,0.06698893,0.008910656,0.5066356227564803,0.056397324,0.3453827304094838,0.4838544727345926,0.077835234,0.087488917,0.3437473545457588,0.4985921068843586,0.2835177830054611,0.3459372706961021,0.654062729,0.2460813439547958,0.469178041,,0.9665769544780148,0.5550196000814954,0.2386931585008207,0.7316352463790478,0.933062063,0.907368768,0.068908466,0.0245629,0.056332851,0.8366856542524292,0.1025734281705116,0.5081679889776042,,0.161568138,0.2143561977449015,0.7856438022550984,0.072717246,0.018705106,0.018809935,0.2622144874098061,0.03956853,0.067473226,0.1915417424731741,0.1506104411787888,0.078567597,0.008975559,0.007983513,0.0646313,0.007493145,0.03378733,,0.005866837,,0.7777248373895336,0.9289756364379248,0.7777248373895336,0.011623842,3.3791463170870486,3.0,18797.936018812663,18000.0,64.94433327046873,231.00267758573412,0.0,17498.50146423608,15000.0,19735.289596136325,7500.0,22196.691656445862,21083.5,54195837.0,0.165625,0.690625,0.803125,0.1625,0.025,0.009375,1286.226406
Srikakulam,Andhra Pradesh,20.71,1139.51,1162.58,99.91,87.73,71.58,74.7,76.54,75.63,42.51,25.4,5.46,77.95,72.33,72.18,71.03,0.55,0.0,0.26,0.0,5.69,16.01,45.75,78.41,94.43,35.34,100.0,3479.24,52.2,56.98,100,97.01,2.99,11.9,1.3,16.14,19.66,19.51,7.36,21.44,4.48,13.76,27.18,53.98,59.61,62.59,59.19,17.44,17.57,22.12,22.89,1.04,0.23,3.76,7.09,21.32,0.55,28.26,0.86,28.0,1.0,6.349129575834074,8.0,1719.7872074238444,1977.2939908086596,0.2021964475897218,0.254998245,0.3998399752830259,0.1429653321776592,0.369426417,0.5374989654431847,0.091334533,0.3389641310783709,0.078385175,0.1185046760815998,0.114330664,0.1262845086647592,0.1054686511118732,0.1047008442935126,0.00696142,0.9607755274486072,0.011046482,,0.000996304,0.002393216,0.9505940037888588,0.3981573464772987,0.1596934627404151,0.1473937943078277,0.8526062056921723,0.014515183,0.034168746,0.1262429176942222,0.1717119507926532,0.011999843,0.06009617,0.1832332674670403,0.1121336288969614,0.1074371441563905,0.8351579794874551,0.047570591,0.083642578,0.7470779475861642,0.087177772,0.032164877,0.1286626412787481,0.9374228412533664,0.062577159,0.1000583273131021,0.8999416726868978,0.032080001,0.9102241117079656,0.2570668032960435,0.72113018,0.1332868835360241,0.05946153,0.1737730579364496,0.7599923620270667,1.0,0.010719287,0.024724936,0.028795626,0.9317080624365928,,0.996197018,0.783849985,0.3934387718959342,0.1753206607434461,0.8246793392565538,0.1212923536103653,0.005311062,0.02456332,0.061735754,0.1251669995617366,0.066430608,0.2315848086827155,0.234205135,0.047908257,0.006566079,0.000708807,0.017009984,0.001740084,0.006399931,0.036881718,0.012029586,0.000545055,1.0,1.0,1.0,0.013725429,3.017917530261486,3.0,8435.308752046913,8880.0,338.19908209266725,177.82490860292688,0.0,11826.702860406773,12450.0,3554.775335707006,2250.0,10233.169747716278,10750.5,621259227.0,0.004310345,0.9913793103448276,0.086206897,0.8189655172413793,0.012931034,0.081896552,583.7453047
Vizianagaram,Andhra Pradesh,20.56,1114.35,898.03,99.52,93.1,61.74,60.3,84.96,76.69,37.63,33.72,12.74,72.52,71.18,71.18,69.27,0.0,0.0,0.63,0.0,6.68,21.1,36.37,71.35,91.27,32.42,98.75,1930.67,70.64,41.3,*,100,0.01,7.51,1.39,1.75,36.4,19.23,8.34,32.21,4.65,16.85,28.82,57.97,66.74,64.04,73.88,14.26,14.47,25.2,25.13,4.9,0.63,7.33,11.41,21.47,0.8,32.3,0.813,28.0,2.0,5.30802848,6.0,1812.333825539664,3129.7035914541416,0.1899963920920198,0.2277213089436816,0.4231530393203446,0.1591292596439539,0.2961473484935654,0.5791112078461238,0.1234274288244044,0.4382233969612135,0.068787518,0.1026944045307359,0.082210311,0.1116599540109948,0.1114998869769946,0.068380747,0.010755751,0.9798366314096776,0.010147349,0.001404728,,0.032858963,0.93639549,1.0,0.7144820125472743,0.2471184762477039,0.7528815237522961,0.038739363,0.073480901,0.1036214855336297,0.1089770224209736,0.055758744,0.097964896,0.2189863418194332,0.041225305,0.088637656,0.7755950970509626,0.1153196374901356,0.042637246,0.7426995295319672,0.1129633885123643,0.006737109,0.1375999724831531,0.679060421,0.2801291119234388,0.4120649348231929,0.5879350651768072,0.024453433,0.8184056645023171,,1.0,0.1427389551279504,0.054370298,0.1740044067460325,1.0,1.0,,0.031970781,0.009387825,0.9586413942022372,,0.2666025577186329,0.9449275019154108,0.2555249874420091,0.1951882445984758,0.8048117554015242,0.1842617257980263,0.018999492,0.1003484562308365,0.1087755170172958,0.077657054,0.03012654,0.2082495379645352,0.1587707769512419,0.018489422,0.005350518,0.002138151,0.023787275,0.001314015,0.005788031,0.030896869,0.049871177,,1.0,0.9830250621525748,1.0,0.006566135,2.893231462,3.0,9236.232450197956,9460.0,775.3590890920685,560.9591334403158,520.0,13661.523189761612,15000.0,3963.938425387347,2900.0,12041.427352247076,12658.5,501057005.0,0.010869565,0.9836956521739132,0.092391304,0.7717391304347826,0.010869565,0.125,530.241395
Visakhapatnam,Andhra Pradesh,21.35,1066.43,974.03,99.57,91.78,77.77,72.87,82.17,64.92,45.98,25.41,9.5,85.72,68.02,67.68,64.93,0.33,0.0,0.78,0.0,4.79,15.2,35.3,58.59,88.03,40.11,97.04,2200.41,69.33,26.47,93.52,83.81,9.71,8.12,1.95,11.84,30.96,21.53,11.2,33.53,4.79,17.44,23.79,57.97,72.61,58.02,58.93,16.97,18.2,23.91,29.16,1.72,0.73,4.07,6.34,22.75,1.32,30.23,0.852,28.0,3.0,8.486779236158478,10.0,5917.537854599674,2323.128675951996,0.2565522713867365,0.2547478804597625,0.396103161,0.092596687,0.3984788318569308,0.5179357610166965,0.080689275,0.1675067456142353,0.068984831,0.1488264916958752,0.1138150985766249,0.1354100558319312,0.1590989014766127,0.1354503549763311,0.038394313,0.919180822,0.033526324,0.008215841,,0.024677178,0.9067302618144942,1.0,0.8412966667770534,0.007699666,0.9923003335047236,,,0.069517454,,,0.1459033551748755,0.4521780151171544,0.049799794,0.098775957,0.4910504738951732,0.093611301,0.1470284221731455,0.4690124126894343,0.093352442,0.065943387,0.3696763929370286,0.4722010406412298,0.4441911036133284,0.5890763168459924,0.4109236831540076,0.1083212036090189,0.5427450999331493,,1.0,0.064738823,0.5639502350310689,0.7035725446553732,1.0,0.9908027787640432,0.009185619,0.044932638,0.077395519,0.8646769594031605,,0.6867412418883971,0.9306814975074944,0.4734169380181784,0.1346912707991069,0.8653087292008931,0.098382934,0.015418867,0.020473972,0.2176221930559272,0.037947128,0.031516728,0.2600583962151978,0.2219753056549397,0.029285055,0.010137005,,0.043068383,0.002896132,0.032513208,0.002196286,0.1896384888554737,0.2383752714096027,1.0,0.7983267439164323,1.0,0.00051751,3.1147934995897826,3.0,11489.20913,11540.0,178.29791365825596,322.2643466098774,0.0,15445.06830000079,15000.0,6030.182811044944,2600.0,13779.416547264167,13165.0,472198384.0,0.043269231,0.9423076923076924,0.1442307692307692,0.6442307692307693,0.028846154,0.1826923076923076,512.9112117
East Godavari,Andhra Pradesh,20.45,995.49,881.88,98.82,97.88,77.73,80.34,81.21,66.36,43.21,25.99,6.22,70.97,66.34,66.34,64.08,0.08,0.25,1.08,0.0,7.96,12.46,32.43,50.95,86.96,32.25,91.43,8159.35,45.99,52.15,67.31,85.34,7.48,13.32,2.24,10.21,23.11,14.33,3.83,22.35,3.42,10.2,44.36,49.16,66.76,62.96,65.17,21.71,27.56,29.01,32.19,1.94,1.02,4.79,3.16,25.5,0.72,25.89,0.869,28.0,4.0,7.324661785,9.0,3561.369420608916,2364.010240358486,0.2488995251042802,0.2751454616602017,0.3634562605119665,0.1124987527235515,0.3593690942470131,0.5295920824721059,0.1062159098835394,0.233314794,0.076728872,0.1520270195490073,0.1998749215664856,0.1093166394531111,0.074157165,0.069145232,0.048768072,0.9470892919532218,0.052373447,0.047175532,0.018648947,0.001479966,0.8720877365623134,1.0,0.3596504797496092,0.058015021,0.9419849788154704,0.054184574,0.05049429,0.076832588,0.071150102,0.020761282,0.030642999,0.3711099390108335,0.1064253026412419,0.052282278,0.7140878413390901,0.10109806,0.09306026,0.6984563427771212,0.081099952,0.064675409,0.1557682955609127,0.7429491879193643,0.1701780543753267,0.2985776762508311,0.7014223237491689,0.146978926,0.7214382770584679,,0.6840752642884017,0.1761138838652172,0.044912493,0.2210263769347276,1.0,0.998362263,0.020064164,0.04132224,0.044878329,0.8848597974781641,,0.978582683,0.883308199,0.04806895,0.1352529916894182,0.8647470083105817,0.1135138846793286,0.019259089,0.019746614,0.1559018470811738,0.027532518,0.034051549,0.1999492020472234,0.2302092941858809,0.07829169,0.016661075,0.007902381,0.0717899,0.004822913,0.036667285,,0.074157214,,0.988057962,0.988057962,0.988057962,0.001839822,3.6091299657411886,3.0,11895.56978929959,11795.0,88.11473929083716,57.26665736372977,0.0,7699.215486329864,6925.0,3129.8654125450335,0.0,12943.35546893811,12643.0,304176344.0,0.03125,0.953125,0.2578125,0.4921875,0.0078125,0.2421875,347.1852052
West Godavari,Andhra Pradesh,21.48,998.55,832.54,99.34,99.07,80.78,86.83,83.39,67.57,46.47,22.09,13.35,84.44,77.82,77.24,74.49,0.59,0.4,0.59,0.35,2.95,12.49,28.77,62.73,95.34,43.65,100.0,2317.64,48.76,55.66,86.98,100,0.01,2.71,1.03,3.48,31.44,11.71,4.65,22.45,5.24,10.11,45.34,51.57,62.34,63.04,66.83,23.83,18.93,28.84,31.42,7.06,1.77,13.05,2.24,21.8,0.15,23.56,0.905,28.0,5.0,6.919130750804624,8.0,2214.547198078013,4579.6097850795795,0.2181616402263578,0.2104840445370436,0.3912613822908184,0.180092933,0.3595739581616002,0.5308263907474479,0.086431027,0.2293272937235339,0.1434436397784537,0.1248413301488292,0.1286177626851524,0.1567483008866637,0.1033057577567213,0.076540906,0.033090065,0.9548170950295026,0.030398864,0.1294275127765324,0.012154212,,0.8280194117655016,0.014116987,0.9135495500448538,0.11847411,0.88152589,0.059223793,0.1373037999951706,0.129009303,0.121024976,0.069472415,0.048412243,0.2068925228245071,0.0232197,0.031057909,0.7732723857407724,0.1046615491374651,0.04575581,0.5603673421820657,0.2333361159902313,0.1509148215853233,0.05538172,0.8819429087064445,0.1166942633317218,0.267628269,0.7323717312502519,0.1506570713931406,0.8387531217757157,0.016142232,0.6459084382003856,0.5832321780444646,0.163507089,0.4020942577082013,1.0,1.0,0.004958888,0.033368918,0.076491495,0.8851806992770889,0.018179387,0.9635476476953988,0.9890488494511014,0.2625211247252416,0.2116923946440292,0.7883076053559708,0.1642102482977677,0.012264105,0.028398841,0.064442583,0.1173371363645699,0.025428045,0.2315385745253741,0.1885773653512414,0.1054549988590477,0.01229483,,0.019960557,0.023168624,0.004084944,0.02575601,0.069489275,0.018272966,1.0,0.964653969,1.0,0.012100603,2.986369856569425,3.0,8226.405755183736,8000.0,763.2105621038666,286.3595676283622,250.0,8532.332603756151,8000.0,8106.802150404258,2800.0,10662.62562783621,10033.5,671542383.0,0.01,0.885,0.315,0.51,0.005,0.17,340.9781413
Krishna,Andhra Pradesh,20.44,1063.63,1139.25,99.55,94.38,79.14,89.82,87.53,68.08,46.17,25.32,9.6,92.59,79.09,78.1,76.49,0.0,0.0,0.44,0.0,2.49,16.09,27.66,73.3,95.84,39.2,96.42,3715.49,40.09,66.07,97.19,100,0.01,7.81,2.43,23.41,29.84,14.25,5.21,21.13,4.23,10.47,40.56,53.46,65.7,60.32,59.01,23.32,22.54,24.02,28.46,5.36,2.12,12.34,1.37,21.31,0.35,22.76,0.843,28.0,6.0,6.255290549621058,9.0,2132.1370999940946,2612.971930397506,0.2242962644529933,0.212930172,0.4111282516844742,0.1516453119410524,0.3434135503759525,0.5840227171501651,0.06422961,0.2842844215040733,0.096883068,0.1711985306264736,0.117330038,0.1503400927254111,0.082353978,0.067940121,0.017157475,0.9657499079500904,0.011572996,0.243882595,0.028630033,0.022081046,0.6938333310777429,0.2322941461936825,0.9299814408638434,0.1439193268782406,0.8560806731217594,0.007834019,0.1300731772236956,0.090137382,0.1245201719471462,0.031457122,0.073180683,0.2362809574768586,0.1210479415277601,0.031525602,0.7869694576818157,0.064221281,0.058893326,0.645643987,0.2132473016086635,0.037491201,0.1036175109771231,0.8697137278056963,0.1098424120282366,0.1386029301192361,0.8613970698807639,0.129148884,0.863601349,0.004672952,0.9049522360790518,0.6127031724253775,0.038490263,0.4144168343640554,1.0,0.9840008359568926,0.010207592,0.011622789,0.062189422,0.8980242849098551,0.031892317,0.8179648643776677,0.4551948184300361,0.064345721,0.2404166868372098,0.7595833131627902,0.083255049,0.022747269,0.027697368,0.079548815,0.099558135,0.076023609,0.2204592637287271,0.2314803744934259,0.081383725,0.001796101,,0.045051213,0.008334122,0.012512277,0.03107373,0.06061996,0.049291395,1.0,1.0,1.0,0.009368464,2.9316576335514735,3.0,11185.110679029369,10500.0,661.6601331003042,286.8000710322466,200.0,8126.171531461391,6510.5,6101.091350883558,2500.0,13319.222141222408,12666.5,619141335.0,0.05,0.80625,0.21875,0.54375,0.05,0.1875,300.691936
Guntur,Andhra Pradesh,22.41,1055.16,941.42,99.19,99.25,83.44,91.65,85.83,71.08,32.61,35.37,20.7,87.97,73.33,73.17,72.85,0.19,0.0,0.13,0.0,3.23,16.59,28.22,62.47,90.25,42.49,96.04,3912.24,49.55,53.75,100,97.44,2.56,10.04,0.98,11.19,23.82,17.81,8.07,26.88,3.61,9.61,46.39,53.38,59.28,59.51,54.63,22.69,25.89,25.83,31.31,6.47,0.2,14.64,1.6,25.39,0.17,24.51,0.866,28.0,7.0,7.060498703970789,8.0,2856.2240656018603,1933.340375159176,0.264575894,0.2478711138647222,0.3468973729297282,0.1406556187991036,0.3720399459233452,0.5205912482837806,0.099530709,0.2453682969772301,0.08744919,0.1819864981446036,0.1005360727054009,0.147179775,0.089231199,0.1098146020538316,0.025106503,0.9545346420601962,0.030690186,,0.003717107,0.028367091,0.9372256153120432,0.6349092686717174,0.8685272249693933,0.021884356,0.9781156442893604,0.00860551,0.042639593,0.009570149,0.006589423,0.026376819,0.1355750865655592,0.3732603975877037,0.1526982703144277,0.040355787,0.7257735562104257,0.083118259,0.048198565,0.6904714102343025,0.1477817672485675,0.0433054,0.1184414224603192,0.7721045020112394,0.2087603657475792,0.2511982936554555,0.7488017063445446,0.080310698,0.7888667839724022,0.090432433,0.3989097348570473,0.4710868659293031,0.137837032,0.3788695954389866,0.2630657539796092,0.995065968,0.001215292,0.008658723,0.017382231,0.972743755,0.052559704,0.8609443794277053,0.8464794231227049,0.4175670686182244,0.2333545152837299,0.7666454847162701,0.099714721,0.019034664,0.034591494,0.130392488,0.068843068,0.028028445,0.2393844080367733,0.2011662264532186,0.076897555,0.010502352,0.003125684,0.064554005,0.007838097,0.013327863,0.018248091,0.051230193,,0.8732556429235697,0.8732556429235697,0.8732556429235697,0.00730812,3.1204186348148655,3.0,10806.365131462202,12000.0,63.49658652519702,104.12406505143916,0.0,8695.703491341636,9000.0,1775.6330431805652,0.0,11846.555705233734,12983.5,492805454.0,0.146551724,0.6681034482758621,0.3491379310344827,0.4137931034482758,0.017241379,0.2198275862068965,241.9419136
