district,state,pop_below_15,sex_ratio,sex_ratio_birth,hh_elec,hh_drnk_water,hh_sanitation,hh_fuel,hh_salt,hh_health_insurance,women_10yr_school,women_premarried,women_earlymother,women_menstrual,fam_contra,fam_modern_contra,fam_female_ster,fam_IUD,fam_pill,fam_condom,fam_injectibles,fam_unmet_need,fam_healthworkers,fam_sideeffects,mother_antenatal,mother_neonatal,mother_folic,mother_MCP,delivery_expense,institutional_birth,births_csection,child_vaccinated,child_public_vaccinated,child_private_vaccinated,child_diarrhoea,child_resp,child_diet,child_stunted,child_wasted,child_severely_wasted,child_underwght,child_overwght,women_lowBMI,women_highBMI,women_high_wh,child_anaemic,women_anaemic,young_women_anaemic,women_highBS,men_highBS,women_highBP,men_highBP,women_cervical,women_breast,women_oral,women_tobbaco,men_tobbaco,women_alc,men_alc,HDI,st,dc
Nicobars,Andaman & Nicobar Islands,22.98,973.31,927.41,97.9,98.81,83.45,56.93,99.42,2.65,53.53,11.36,1.77,100.0,65.3,57.24,46.36,2.72,2.0,4.92,1.24,9.53,40.42,49.39,71.65,78.01,43.91,97.86,2278.2,96.65,11.52,94.08,100,0.01,5.65,1.75,18.71,21.59,15.69,7.76,24.6,1.49,8.18,39.11,62.51,37.67,38.3,47.98,13.05,15.39,35.36,46.97,13.35,13.16,5.37,63.46,76.79,29.59,64.49,0.803,35.0,1.0
North & Middle Andaman,Andaman & Nicobar Islands,19.82,949.82,844.43,93.24,92.2,86.38,61.25,99.86,2.07,41.03,15.38,3.83,100.0,84.09,73.11,48.34,6.43,7.84,9.29,0.0,5.78,23.19,83.17,79.19,91.11,24.08,99.23,1903.71,95.01,12.91,*,*,*,4.54,6.98,5.92,27.02,26.97,8.31,42.8,0.83,8.55,35.89,79.33,30.38,62.07,47.82,16.72,18.28,27.4,32.2,1.7,0.25,15.84,46.77,70.47,5.08,45.26,*,35.0,2.0
South Andaman,Andaman & Nicobar Islands,20.95,967.48,934.92,99.58,97.94,89.33,91.92,99.67,1.15,57.5,17.06,2.81,98.19,57.13,50.5,34.02,2.82,1.75,10.57,0.29,17.6,31.18,88.17,85.94,92.05,61.93,98.91,3460.04,83.83,37.14,96.57,93.11,4.33,5.99,0.0,23.49,21.11,12.62,3.46,17.43,7.21,10.0,39.01,78.15,43.35,57.66,43.17,18.41,18.1,22.95,26.9,1.32,0.67,8.0,19.6,50.76,1.72,32.81,0.95,35.0,3.0
Srikakulam,Andhra Pradesh,20.71,1139.51,1162.58,99.91,87.73,71.58,74.7,76.54,75.63,42.51,25.4,5.46,77.95,72.33,72.18,71.03,0.55,0.0,0.26,0.0,5.69,16.01,45.75,78.41,94.43,35.34,100.0,3479.24,52.2,56.98,100,97.01,2.99,11.9,1.3,16.14,19.66,19.51,7.36,21.44,4.48,13.76,27.18,53.98,59.61,62.59,59.19,17.44,17.57,22.12,22.89,1.04,0.23,3.76,7.09,21.32,0.55,28.26,0.86,28.0,1.0
Vizianagaram,Andhra Pradesh,20.56,1114.35,898.03,99.52,93.1,61.74,60.3,84.96,76.69,37.63,33.72,12.74,72.52,71.18,71.18,69.27,0.0,0.0,0.63,0.0,6.68,21.1,36.37,71.35,91.27,32.42,98.75,1930.67,70.64,41.3,*,100,0.01,7.51,1.39,1.75,36.4,19.23,8.34,32.21,4.65,16.85,28.82,57.97,66.74,64.04,73.88,14.26,14.47,25.2,25.13,4.9,0.63,7.33,11.41,21.47,0.8,32.3,0.813,28.0,2.0
Visakhapatnam,Andhra Pradesh,21.35,1066.43,974.03,99.57,91.78,77.77,72.87,82.17,64.92,45.98,25.41,9.5,85.72,68.02,67.68,64.93,0.33,0.0,0.78,0.0,4.79,15.2,35.3,58.59,88.03,40.11,97.04,2200.41,69.33,26.47,93.52,83.81,9.71,8.12,1.95,11.84,30.96,21.53,11.2,33.53,4.79,17.44,23.79,57.97,72.61,58.02,58.93,16.97,18.2,23.91,29.16,1.72,0.73,4.07,6.34,22.75,1.32,30.23,0.852,28.0,3.0
East Godavari,Andhra Pradesh,20.45,995.49,881.88,98.82,97.88,77.73,80.34,81.21,66.36,43.21,25.99,6.22,70.97,66.34,66.34,64.08,0.08,0.25,1.08,0.0,7.96,12.46,32.43,50.95,86.96,32.25,91.43,8159.35,45.99,52.15,67.31,85.34,7.48,13.32,2.24,10.21,23.11,14.33,3.83,22.35,3.42,10.2,44.36,49.16,66.76,62.96,65.17,21.71,27.56,29.01,32.19,1.94,1.02,4.79,3.16,25.5,0.72,25.89,0.869,28.0,4.0
West Godavari,Andhra Pradesh,21.48,998.55,832.54,99.34,99.07,80.78,86.83,83.39,67.57,46.47,22.09,13.35,84.44,77.82,77.24,74.49,0.59,0.4,0.59,0.35,2.95,12.49,28.77,62.73,95.34,43.65,100.0,2317.64,48.76,55.66,86.98,100,0.01,2.71,1.03,3.48,31.44,11.71,4.65,22.45,5.24,10.11,45.34,51.57,62.34,63.04,66.83,23.83,18.93,28.84,31.42,7.06,1.77,13.05,2.24,21.8,0.15,23.56,0.905,28.0,5.0
Krishna,Andhra Pradesh,20.44,1063.63,1139.25,99.55,94.38,79.14,89.82,87.53,68.08,46.17,25.32,9.6,92.59,79.09,78.1,76.49,0.0,0.0,0.44,0.0,2.49,16.09,27.66,73.3,95.84,39.2,96.42,3715.49,40.09,66.07,97.19,100,0.01,7.81,2.43,23.41,29.84,14.25,5.21,21.13,4.23,10.47,40.56,53.46,65.7,60.32,59.01,23.32,22.54,24.02,28.46,5.36,2.12,12.34,1.37,21.31,0.35,22.76,0.843,28.0,6.0
Guntur,Andhra Pradesh,22.41,1055.16,941.42,99.19,99.25,83.44,91.65,85.83,71.08,32.61,35.37,20.7,87.97,73.33,73.17,72.85,0.19,0.0,0.13,0.0,3.23,16.59,28.22,62.47,90.25,42.49,96.04,3912.24,49.55,53.75,100,97.44,2.56,10.04,0.98,11.19,23.82,17.81,8.07,26.88,3.61,9.61,46.39,53.38,59.28,59.51,54.63,22.69,25.89,25.83,31.31,6.47,0.2,14.64,1.6,25.39,0.17,24.51,0.866,28.0,7.0
