district,state,city,distance
North & Middle Andaman,Andaman & Nicobar Islands,Ahmedabad,7907.482450920444
South Andaman,Andaman & Nicobar Islands,Kolkata,1286.226405546121
Srikakulam,Andhra Pradesh,Hyderabad,583.7453046547226
Vizianagaram,Andhra Pradesh,Hyderabad,530.241395046107
Visakhapatnam,Andhra Pradesh,Hyderabad,512.9112116643475
East Godavari,Andhra Pradesh,Hyderabad,347.1852051797389
West Godavari,Andhra Pradesh,Hyderabad,340.97814132677405
Krishna,Andhra Pradesh,Hyderabad,300.69193600802527
Guntur,Andhra Pradesh,Hyderabad,241.9419135747321
Prakasam,Andhra Pradesh,Hyderabad,215.912845536085
Kurnool,Andhra Pradesh,Hyderabad,175.43118496643262
Anantapur,Andhra Pradesh,Bengaluru,194.09820675662306
Chittoor,Andhra Pradesh,Chennai,137.9954857138839
Tawang,Arunachal Pradesh,Kolkata,670.0795982988177
West Kameng,Arunachal Pradesh,Kolkata,668.9070317173026
East Kameng,Arunachal Pradesh,Kolkata,721.4188644645212
Papum Pare,Arunachal Pradesh,Kolkata,744.3609883004945
Upper Subansiri,Arunachal Pradesh,Kolkata,853.6457923927009
Upper Siang,Arunachal Pradesh,Kolkata,955.8916801286217
Changlang,Arunachal Pradesh,Kolkata,935.6788509632664
Lower Subansiri,Arunachal Pradesh,Kolkata,774.9047602696062
Dibang Valley,Arunachal Pradesh,Kolkata,1029.4925476878766
Lower Dibang Valley,Arunachal Pradesh,Kolkata,980.6070643002835
Anjaw,Arunachal Pradesh,Kolkata,1049.354688508289
East Siang,Arunachal Pradesh,Kolkata,935.4578042681052
Kurung Kumey,Arunachal Pradesh,Kolkata,769.7343969412037
Lohit,Arunachal Pradesh,Kolkata,991.6321273834728
Tirap,Arunachal Pradesh,Kolkata,873.8268528554815
West Siang,Arunachal Pradesh,Kolkata,875.7665199906313
Kokrajhar,Assam,Kolkata,469.1411932299246
Goalpara,Assam,Kolkata,446.9690557881445
Barpeta,Assam,Kolkata,498.2336951736382
Morigaon,Assam,Kolkata,574.3311485527922
Lakhimpur,Assam,Kolkata,779.3710614003635
Dhemaji,Assam,Kolkata,848.5322574368221
Tinsukia,Assam,Kolkata,891.3097836226668
Dibrugarh,Assam,Kolkata,854.950279504627
Golaghat,Assam,Kolkata,716.3674052363707
Dima Hasao,Assam,Kolkata,572.5848565483884
Cachar,Assam,Kolkata,520.5374982676755
Karimganj,Assam,Kolkata,465.80845094905106
Hailakandi,Assam,Kolkata,488.2693589354462
Bongaigaon,Assam,Kolkata,486.5414047894211
Chirang,Assam,Kolkata,505.9371542047538
Kamrup,Assam,Kolkata,490.7463228865713
Kamrup Metropolitan,Assam,Kolkata,530.674245017971
Nalbari,Assam,Kolkata,519.574737885656
Baksa,Assam,Kolkata,540.7836816246485
Darrang,Assam,Kolkata,565.083378924615
Udalguri,Assam,Kolkata,589.9704618257025
Dhubri,Assam,Kolkata,432.8655355297988
Jorhat,Assam,Kolkata,751.3520104157172
Karbi Anglong,Assam,Kolkata,644.869709400801
Nagaon,Assam,Kolkata,609.2646911266863
Sivasagar,Assam,Kolkata,800.6880604213222
Sonitpur,Assam,Kolkata,639.1621368526987
Pashchim Champaran,Bihar,Kolkata,626.9349198002714
Sheohar,Bihar,Kolkata,535.454538610071
Sitamarhi,Bihar,Kolkata,531.5069254841789
Madhubani,Bihar,Kolkata,471.0409682650333
Supaul,Bihar,Kolkata,440.00963695396257
Araria,Bihar,Kolkata,421.226336238564
Kishanganj,Bihar,Kolkata,414.8459547542171
Purnia,Bihar,Kolkata,367.82232941440594
Katihar,Bihar,Kolkata,338.6930932161468
Madhepura,Bihar,Kolkata,383.76962286307963
Saharsa,Bihar,Kolkata,402.4808482106602
Darbhanga,Bihar,Kolkata,455.1239447764717
Muzaffarpur,Bihar,Kolkata,501.4621751743725
Gopalganj,Bihar,Kolkata,587.4971560684132
Siwan,Bihar,Kolkata,563.7076944435713
Saran,Bihar,Kolkata,519.8885503766195
Vaishali,Bihar,Kolkata,463.29451333279314
Samastipur,Bihar,Kolkata,436.03491510614185
Begusarai,Bihar,Kolkata,399.4805285983746
Khagaria,Bihar,Kolkata,365.1398551795397
Bhagalpur,Bihar,Kolkata,325.7119385947545
Banka,Bihar,Kolkata,295.9278926615929
Munger,Bihar,Kolkata,348.40572462982766
Lakhisarai,Bihar,Kolkata,362.6065643541611
Sheikhpura,Bihar,Kolkata,383.74837215384287
Nalanda,Bihar,Kolkata,411.2150406733189
Patna,Bihar,Kolkata,470.7845377411812
Bhojpur,Bihar,Kolkata,501.019174723372
Buxar,Bihar,Kolkata,540.9529068227461
Kaimur (Bhabua),Bihar,Kolkata,557.2579673561817
Rohtas,Bihar,Kolkata,514.5649548133532
Aurangabad,Bihar,Kolkata,472.804995693834
Gaya,Bihar,Kolkata,414.04839621606135
Nawada,Bihar,Kolkata,382.149285398844
Jehanabad,Bihar,Kolkata,445.6324657917343
Arwal,Bihar,Kolkata,475.14427278266083
Chandigarh,Chandigarh,Delhi,236.51197698493712
Koriya,Chhattisgarh,Kolkata,611.5578467954284
Jashpur,Chhattisgarh,Kolkata,451.987054350495
Raigarh,Chhattisgarh,Kolkata,517.2792544094982
Korba,Chhattisgarh,Kolkata,589.2783318608164
Kabeerdham,Chhattisgarh,Hyderabad,597.3703435104956
Rajnandgaon,Chhattisgarh,Hyderabad,477.6033869160126
Mahasamund,Chhattisgarh,Hyderabad,598.2684187744239
Dhamtari,Chhattisgarh,Hyderabad,491.94714910698167
Uttar Bastar Kanker,Chhattisgarh,Hyderabad,404.9003620582564
Narayanpur,Chhattisgarh,Hyderabad,371.87339730604174
Bijapur,Chhattisgarh,Hyderabad,294.29378600385917
Balod,Chhattisgarh,Hyderabad,466.81417106330514
Balrampur,Chhattisgarh,Kolkata,513.6716960328338
Bastar,Chhattisgarh,Hyderabad,404.698112166958
Bemetara,Chhattisgarh,Hyderabad,570.4289849243347
Bilaspur,Chhattisgarh,Kolkata,642.9191176447731
Durg,Chhattisgarh,Hyderabad,524.4656219011133
Gariyaband,Chhattisgarh,Hyderabad,525.4500927041478
Mungeli,Chhattisgarh,Hyderabad,620.2713359676429
Raipur,Chhattisgarh,Hyderabad,542.6355664502781
Surajpur,Chhattisgarh,Kolkata,559.2715161072082
Surguja,Chhattisgarh,Kolkata,535.4487790412252
North Goa,Goa,Pune,323.19738388303864
South Goa,Goa,Pune,366.4581970698405
Kachchh,Gujarat,Ahmedabad,271.1505966300803
Banas Kantha,Gujarat,Ahmedabad,136.3009263680987
Patan,Gujarat,Ahmedabad,124.1260152935325
Mahesana,Gujarat,Ahmedabad,67.20884569247035
Gandhinagar,Gujarat,Ahmedabad,23.43943100945098
Porbandar,Gujarat,Ahmedabad,321.824194715587
Amreli,Gujarat,Ahmedabad,224.40784891556103
Anand,Gujarat,Ahmedabad,64.58685416779565
Dohad,Gujarat,Ahmedabad,173.54815719628456
Narmada,Gujarat,Ahmedabad,178.24001612153754
Bharuch,Gujarat,Ahmedabad,151.6187199776538
Navsari,Gujarat,Mumbai,219.36063476100952
Valsad,Gujarat,Mumbai,164.79243212310814
Surat,Gujarat,Ahmedabad,202.324305187726
Tapi,Gujarat,Ahmedabad,226.27032610834917
Ahmadabad,Gujarat,Ahmedabad,0.0
Bhavnagar,Gujarat,Ahmedabad,145.55847486421243
Jamnagar,Gujarat,Ahmedabad,266.3416235761029
Junagadh,Gujarat,Ahmedabad,274.5692788559173
Kheda,Gujarat,Ahmedabad,46.49580682051802
Panch Mahals,Gujarat,Ahmedabad,145.5835959573954
Rajkot,Gujarat,Ahmedabad,199.12758748137725
Sabar Kantha,Gujarat,Ahmedabad,86.64334340963502
Surendranagar,Gujarat,Ahmedabad,100.75827776874691
Vadodara,Gujarat,Ahmedabad,102.06304149826515
Panchkula,Haryana,Delhi,231.50664877587835
Ambala,Haryana,Delhi,198.5983971439919
Yamunanagar,Haryana,Delhi,166.16414592317835
Kurukshetra,Haryana,Delhi,152.0287128046675
Kaithal,Haryana,Delhi,150.0922569502445
Karnal,Haryana,Delhi,124.34068207451199
Panipat,Haryana,Delhi,86.76099117169338
Sonipat,Haryana,Delhi,43.27856157056923
Jind,Haryana,Delhi,112.76503722148529
Fatehabad,Haryana,Delhi,185.1951004123166
Sirsa,Haryana,Delhi,245.9621986661214
Hisar,Haryana,Delhi,148.45609997803123
Rohtak,Haryana,Delhi,65.24583301415927
Jhajjar,Haryana,Delhi,51.08488417903881
Mahendragarh,Haryana,Delhi,112.4721666501272
Rewari,Haryana,Delhi,72.44838425581204
Gurgaon,Haryana,Delhi,22.758645644968578
Mewat,Haryana,Delhi,71.3918774125884
Faridabad,Haryana,Delhi,28.327056128058427
Palwal,Haryana,Delhi,64.59897999729485
Bhiwani,Haryana,Delhi,102.55043522044704
Chamba,Himachal Pradesh,Delhi,460.8956758416885
Kangra,Himachal Pradesh,Delhi,391.7776722925405
Lahul & Spiti,Himachal Pradesh,Delhi,433.67847196501236
Kullu,Himachal Pradesh,Delhi,369.26091838998235
Mandi,Himachal Pradesh,Delhi,335.6200816403231
Hamirpur,Himachal Pradesh,Delhi,340.9799051832101
Una,Himachal Pradesh,Delhi,339.8936270770749
