dc,st,district,state,HDI,vanilla_2_33_67_label,vanilla_2_33_67_centroid_dist,vanilla_2_33_67_split,vanilla_2_33_67_sum_sq_dist,vanilla_2_33_67_cluster_HDI,vanilla_2_67_33_label,vanilla_2_67_33_centroid_dist,vanilla_2_67_33_split,vanilla_2_67_33_sum_sq_dist,vanilla_2_67_33_cluster_HDI,vanilla_2_100_0_label,vanilla_2_100_0_centroid_dist,vanilla_2_100_0_split,vanilla_2_100_0_sum_sq_dist,vanilla_2_100_0_cluster_HDI,vanilla_4_33_67_label,vanilla_4_33_67_centroid_dist,vanilla_4_33_67_split,vanilla_4_33_67_sum_sq_dist,vanilla_4_33_67_cluster_HDI,vanilla_4_67_33_label,vanilla_4_67_33_centroid_dist,vanilla_4_67_33_split,vanilla_4_67_33_sum_sq_dist,vanilla_4_67_33_cluster_HDI,vanilla_4_100_0_label,vanilla_4_100_0_centroid_dist,vanilla_4_100_0_split,vanilla_4_100_0_sum_sq_dist,vanilla_4_100_0_cluster_HDI,vanilla_7_33_67_label,vanilla_7_33_67_centroid_dist,vanilla_7_33_67_split,vanilla_7_33_67_sum_sq_dist,vanilla_7_33_67_cluster_HDI,vanilla_7_67_33_label,vanilla_7_67_33_centroid_dist,vanilla_7_67_33_split,vanilla_7_67_33_sum_sq_dist,vanilla_7_67_33_cluster_HDI,vanilla_7_100_0_label,vanilla_7_100_0_centroid_dist,vanilla_7_100_0_split,vanilla_7_100_0_sum_sq_dist,vanilla_7_100_0_cluster_HDI,vanilla_10_33_67_label,vanilla_10_33_67_centroid_dist,vanilla_10_33_67_split,vanilla_10_33_67_sum_sq_dist,vanilla_10_33_67_cluster_HDI,vanilla_10_67_33_label,vanilla_10_67_33_centroid_dist,vanilla_10_67_33_split,vanilla_10_67_33_sum_sq_dist,vanilla_10_67_33_cluster_HDI,vanilla_10_100_0_label,vanilla_10_100_0_centroid_dist,vanilla_10_100_0_split,vanilla_10_100_0_sum_sq_dist,vanilla_10_100_0_cluster_HDI,pca_3_2_33_67_label,pca_3_2_33_67_centroid_dist,pca_3_2_33_67_split,pca_3_2_33_67_sum_sq_dist,pca_3_2_33_67_cluster_HDI,pca_3_2_67_33_label,pca_3_2_67_33_centroid_dist,pca_3_2_67_33_split,pca_3_2_67_33_sum_sq_dist,pca_3_2_67_33_cluster_HDI,pca_3_2_100_0_label,pca_3_2_100_0_centroid_dist,pca_3_2_100_0_split,pca_3_2_100_0_sum_sq_dist,pca_3_2_100_0_cluster_HDI,pca_3_4_33_67_label,pca_3_4_33_67_centroid_dist,pca_3_4_33_67_split,pca_3_4_33_67_sum_sq_dist,pca_3_4_33_67_cluster_HDI,pca_3_4_67_33_label,pca_3_4_67_33_centroid_dist,pca_3_4_67_33_split,pca_3_4_67_33_sum_sq_dist,pca_3_4_67_33_cluster_HDI,pca_3_4_100_0_label,pca_3_4_100_0_centroid_dist,pca_3_4_100_0_split,pca_3_4_100_0_sum_sq_dist,pca_3_4_100_0_cluster_HDI,pca_3_7_33_67_label,pca_3_7_33_67_centroid_dist,pca_3_7_33_67_split,pca_3_7_33_67_sum_sq_dist,pca_3_7_33_67_cluster_HDI,pca_3_7_67_33_label,pca_3_7_67_33_centroid_dist,pca_3_7_67_33_split,pca_3_7_67_33_sum_sq_dist,pca_3_7_67_33_cluster_HDI,pca_3_7_100_0_label,pca_3_7_100_0_centroid_dist,pca_3_7_100_0_split,pca_3_7_100_0_sum_sq_dist,pca_3_7_100_0_cluster_HDI,pca_3_10_33_67_label,pca_3_10_33_67_centroid_dist,pca_3_10_33_67_split,pca_3_10_33_67_sum_sq_dist,pca_3_10_33_67_cluster_HDI,pca_3_10_67_33_label,pca_3_10_67_33_centroid_dist,pca_3_10_67_33_split,pca_3_10_67_33_sum_sq_dist,pca_3_10_67_33_cluster_HDI,pca_3_10_100_0_label,pca_3_10_100_0_centroid_dist,pca_3_10_100_0_split,pca_3_10_100_0_sum_sq_dist,pca_3_10_100_0_cluster_HDI,pca_opt_2_33_67_label,pca_opt_2_33_67_centroid_dist,pca_opt_2_33_67_split,pca_opt_2_33_67_sum_sq_dist,pca_opt_2_33_67_cluster_HDI,pca_opt_2_67_33_label,pca_opt_2_67_33_centroid_dist,pca_opt_2_67_33_split,pca_opt_2_67_33_sum_sq_dist,pca_opt_2_67_33_cluster_HDI,pca_opt_2_100_0_label,pca_opt_2_100_0_centroid_dist,pca_opt_2_100_0_split,pca_opt_2_100_0_sum_sq_dist,pca_opt_2_100_0_cluster_HDI,pca_opt_4_33_67_label,pca_opt_4_33_67_centroid_dist,pca_opt_4_33_67_split,pca_opt_4_33_67_sum_sq_dist,pca_opt_4_33_67_cluster_HDI,pca_opt_4_67_33_label,pca_opt_4_67_33_centroid_dist,pca_opt_4_67_33_split,pca_opt_4_67_33_sum_sq_dist,pca_opt_4_67_33_cluster_HDI,pca_opt_4_100_0_label,pca_opt_4_100_0_centroid_dist,pca_opt_4_100_0_split,pca_opt_4_100_0_sum_sq_dist,pca_opt_4_100_0_cluster_HDI,pca_opt_7_33_67_label,pca_opt_7_33_67_centroid_dist,pca_opt_7_33_67_split,pca_opt_7_33_67_sum_sq_dist,pca_opt_7_33_67_cluster_HDI,pca_opt_7_67_33_label,pca_opt_7_67_33_centroid_dist,pca_opt_7_67_33_split,pca_opt_7_67_33_sum_sq_dist,pca_opt_7_67_33_cluster_HDI,pca_opt_7_100_0_label,pca_opt_7_100_0_centroid_dist,pca_opt_7_100_0_split,pca_opt_7_100_0_sum_sq_dist,pca_opt_7_100_0_cluster_HDI,pca_opt_10_33_67_label,pca_opt_10_33_67_centroid_dist,pca_opt_10_33_67_split,pca_opt_10_33_67_sum_sq_dist,pca_opt_10_33_67_cluster_HDI,pca_opt_10_67_33_label,pca_opt_10_67_33_centroid_dist,pca_opt_10_67_33_split,pca_opt_10_67_33_sum_sq_dist,pca_opt_10_67_33_cluster_HDI,pca_opt_10_100_0_label,pca_opt_10_100_0_centroid_dist,pca_opt_10_100_0_split,pca_opt_10_100_0_sum_sq_dist,pca_opt_10_100_0_cluster_HDI,ind_dist_vanilla,ind_dist_pca_3,ind_dist_pca_opt
1.0,35.0,Nicobars,Andaman & Nicobar Islands,0.803,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,1.0,1.0,train,1.0,0.003309298123712112,0.0,1.0,train,1.0,1.0,3.0,0.45779423859899737,train,0.0,0.22629858921410254,3.0,0.18219380301615973,train,0.22071611009840653,0.5722055308801396,2.0,0.610564056844926,train,0.16060984726611022,1.0,2.0,0.5512165163740603,train,0.1765081648796164,0.24078662652134641,6.0,0.41639928760147793,train,0.27042004733029107,0.6203297564590379,3.0,0.7370923872861153,train,0.6480984140789344,0.8512946504701522,8.0,0.5017359318996866,train,0.25059207078792217,0.4145980749537111,0.0,1.0,train,0.9999999999999999,0.9999999999999998,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,1.0,0.9999999999999999,train,1.0,0.29167493520417875,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,3.0,0.5810251138415863,train,0.3982788726458895,0.6449821365423716,0.0,0.8218946723745795,train,0.9548458239696411,1.0,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,3.0,0.5008415068190171,train,0.7003044249646319,0.6817925145290874,2.0,0.632410359706306,train,0.9634252569235973,1.0,4.0,0.8790383692058927,train,0.38641258120970945,0.5804596381003101,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,3.0,0.5896390012833619,train,1.0,0.23220992049943673,2.0,0.5044807354937131,train,0.5283450763075609,1.0,3.0,0.018470345869585746,train,1.0,0.04779044613392672,2.0,0.9319383914179624,train,0.3096290687773333,1.0,5.0,0.0,train,0.0,0.28110886044347616,9.0,0.0,train,0.4360853902076853,0.22430302593140267,6.0,0.5784452153419539,train,0.27890871755773144,0.9888424178848266,9.0,1.0,train,0.0977800023533999,0.6516439514843583,0.9085446892112975,0.8184185686028799,0.9403193673834123
2.0,35.0,North & Middle Andaman,Andaman & Nicobar Islands,,0.0,0.0,train,0.0,0.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,0.0,0.05422902822180187,train,0.20077811346375335,0.4017383062984414,0.0,1.0,train,1.0,1.0,2.0,0.0,train,0.2557576551524135,0.8954920988058914,6.0,0.15931667659163146,train,0.6395629888592239,0.6189476002310216,0.0,0.5357243963607361,train,1.0,0.9601221458594535,1.0,0.31075042065817005,train,0.6060361970088927,0.8077149686184399,8.0,0.09954272012993642,train,0.16854951466490764,0.6303402163225171,1.0,0.619311472612271,train,1.0,0.6220478649634061,2.0,0.725185903320701,train,0.2390002047773762,0.3081189736533767,1.0,0.0,train,0.0,0.0,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,2.0,0.9257898397897261,train,0.7313956776582043,0.5387075392927795,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,2.0,0.7079487264650364,train,0.5909163966696346,0.48924609783646605,0.0,0.8218946723745795,train,0.9548458239696411,1.0,6.0,0.5230964168361049,train,0.12687441604092892,0.2647084689879707,1.0,0.7896112940106816,train,0.9999999999999998,0.43078730904817913,7.0,0.6791297534873584,train,0.977066728429116,0.41013368031352226,4.0,0.8790383692058927,train,0.38641258120970945,0.5804596381003101,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,3.0,0.5896390012833619,train,1.0,0.23220992049943673,3.0,0.9800187564294286,train,0.22128755086142365,0.10248413405083273,6.0,0.0,train,0.5865167776045035,0.08764628672197566,1.0,0.81881800197832,train,1.0,0.7825658122418849,6.0,0.7609902317611498,train,0.7954565085531965,0.560107605584926,1.0,0.08899655147426377,train,0.30520749691089283,0.2855610055180869,5.0,0.4986438926035443,train,1.0000000000000002,0.9182392516582927,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.855766654157931,0.7728867847223295,1.0
3.0,35.0,South Andaman,Andaman & Nicobar Islands,0.95,0.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.9999999999999999,0.0,0.05422902822180187,train,0.20077811346375335,0.4017383062984414,1.0,0.0,train,0.31206556675518193,0.7771224998631907,2.0,0.0,train,0.2557576551524135,0.8954920988058914,6.0,0.15931667659163146,train,0.6395629888592239,0.6189476002310216,1.0,0.0,train,0.6815654265531026,0.5974757330200734,6.0,0.0,train,0.0,0.9999999999999998,8.0,0.09954272012993642,train,0.16854951466490764,0.6303402163225171,8.0,0.3606591411913914,train,0.6115287698091242,1.0,7.0,0.0,train,0.14643919709016834,1.0,1.0,0.0,train,0.0,0.0,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,2.0,0.9257898397897261,train,0.7313956776582043,0.5387075392927795,2.0,0.7601870276355337,train,0.29860864022713574,0.27301763410493607,2.0,0.0,train,0.10462827774602712,1.0,2.0,0.7079487264650364,train,0.5909163966696346,0.48924609783646605,2.0,0.5099859496344767,train,0.5065762759719983,0.8043587529481515,5.0,0.0,train,0.0,1.0,1.0,0.7896112940106816,train,0.9999999999999998,0.43078730904817913,1.0,0.41961131111702643,train,0.6579167338085081,0.48855439536680517,6.0,0.7723774424126505,train,0.16573806040808786,1.0,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,1.0,1.0,train,0.12446309903826386,0.9954257565095007,3.0,0.9800187564294286,train,0.22128755086142365,0.10248413405083273,6.0,0.0,train,0.5865167776045035,0.08764628672197566,5.0,0.9224476021568258,train,0.6603146664581632,0.897491725791196,6.0,0.7609902317611498,train,0.7954565085531965,0.560107605584926,1.0,0.08899655147426377,train,0.30520749691089283,0.2855610055180869,9.0,0.4722424631393224,train,0.47427754127771393,0.6998670412044731,6.0,0.3733287083071748,train,0.25404025864449414,0.4569415781105193,0.7704567484550829,0.5928621680827313,0.68993371870378
1.0,28.0,Srikakulam,Andhra Pradesh,0.86,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,1.0,1.0,train,1.0,0.003309298123712112,0.0,1.0,train,1.0,1.0,1.0,0.1415357061748207,train,0.15962041075973243,1.0,0.0,0.711558139726415,train,0.9636531766427974,0.5556241144476435,0.0,0.5357243963607361,train,1.0,0.9601221458594535,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,0.0,0.7787683119459354,train,0.24803018353454592,0.39351032448377704,1.0,0.619311472612271,train,1.0,0.6220478649634061,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,0.0,1.0,train,0.9999999999999999,0.9999999999999998,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,1.0,0.9999999999999999,train,1.0,0.29167493520417875,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,0.0,0.9999999999999999,train,0.8278747434708986,0.5062694766936853,5.0,1.0,train,1.0,0.6992606530826161,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,6.0,0.9370128189201565,train,0.8077070506353042,0.642418098939837,9.0,0.9435859775846211,train,0.9201228608213141,0.6887387813590564,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,1.0,1.0,train,0.12446309903826386,0.9954257565095007,2.0,0.5044807354937131,train,0.5283450763075609,1.0,0.0,0.016022724812039604,train,0.45383499077590805,0.0,5.0,0.9224476021568258,train,0.6603146664581632,0.897491725791196,4.0,0.7340190483663944,train,0.7420058471545964,0.6566883127936272,0.0,0.059283910600455986,train,0.7199183716488108,0.16428284028203574,9.0,0.4722424631393224,train,0.47427754127771393,0.6998670412044731,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8953165670115701,0.9012159545832422,0.7584470958388112
2.0,28.0,Vizianagaram,Andhra Pradesh,0.813,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,3.0,0.3303151528332419,train,0.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.1415357061748207,train,0.15962041075973243,1.0,4.0,0.355642098370312,train,0.0,1.0,2.0,0.610564056844926,train,0.16060984726611022,1.0,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,5.0,0.4234555773176032,train,0.08736629095360049,1.0,3.0,0.7370923872861153,train,0.6480984140789344,0.8512946504701522,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,0.0,1.0,train,0.9999999999999999,0.9999999999999998,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,0.0,0.31292314280835515,train,0.0,1.0,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,5.0,0.32266336703790227,train,0.006990994180174015,0.9999999999999999,0.0,0.8218946723745795,train,0.9548458239696411,1.0,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,4.0,0.3122976857413569,train,0.16216000706950184,0.9999999999999999,2.0,0.632410359706306,train,0.9634252569235973,1.0,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,0.0,0.0,train,0.0,1.0,3.0,0.5896390012833619,train,1.0,0.23220992049943673,2.0,0.5044807354937131,train,0.5283450763075609,1.0,4.0,0.037044630220122346,train,0.2744294967494418,0.1356649032102925,2.0,0.9319383914179624,train,0.3096290687773333,1.0,4.0,0.7340190483663944,train,0.7420058471545964,0.6566883127936272,9.0,0.0,train,0.4360853902076853,0.22430302593140267,6.0,0.5784452153419539,train,0.27890871755773144,0.9888424178848266,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8850424013884116,0.9177555949434666,0.7443315974506072
3.0,28.0,Visakhapatnam,Andhra Pradesh,0.852,0.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.9999999999999999,2.0,0.0,train,0.2695737091363425,0.0,1.0,0.0,train,0.31206556675518193,0.7771224998631907,1.0,0.1415357061748207,train,0.15962041075973243,1.0,3.0,0.18219380301615973,train,0.22071611009840653,0.5722055308801396,1.0,0.0,train,0.6815654265531026,0.5974757330200734,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,6.0,0.41639928760147793,train,0.27042004733029107,0.6203297564590379,7.0,0.14987849815700582,train,0.47346470378466854,0.5166129619585008,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,1.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.0,0.0,1.0,train,1.0,1.0000000000000002,3.0,0.0,train,0.07059449929623007,0.0,1.0,0.13351868618641327,train,0.0,0.0,2.0,0.0,train,0.10462827774602712,1.0,3.0,0.5810251138415863,train,0.3982788726458895,0.6449821365423716,1.0,0.2990044424961321,train,0.13216635117484815,0.0,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,3.0,0.5008415068190171,train,0.7003044249646319,0.6817925145290874,0.0,0.2668692782725022,train,0.39426134636623605,0.0,6.0,0.7723774424126505,train,0.16573806040808786,1.0,0.0,0.0,train,1.0,1.0,0.0,0.0,train,0.0,0.0,0.0,1.0,train,1.0,1.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,2.0,0.0,train,0.0,0.0,2.0,0.5044807354937131,train,0.5283450763075609,1.0,3.0,0.018470345869585746,train,1.0,0.04779044613392672,3.0,0.0,train,0.20609751148715055,0.0,6.0,0.7609902317611498,train,0.7954565085531965,0.560107605584926,4.0,0.08559900772979614,train,0.9999999999999998,0.2725321888412016,8.0,0.018833142933103286,train,0.22115489703307895,0.6950996553274373,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.7902582860179874,0.7185299070701592,0.7247641338043973
4.0,28.0,East Godavari,Andhra Pradesh,0.869,0.0,0.0,train,0.0,0.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,0.0,0.05422902822180187,train,0.20077811346375335,0.4017383062984414,0.0,1.0,train,1.0,1.0,1.0,0.1415357061748207,train,0.15962041075973243,1.0,6.0,0.15931667659163146,train,0.6395629888592239,0.6189476002310216,0.0,0.5357243963607361,train,1.0,0.9601221458594535,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,3.0,0.6246915103805896,train,0.0,0.6818838368426408,1.0,0.619311472612271,train,1.0,0.6220478649634061,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,1.0,0.0,train,0.0,0.0,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,2.0,0.9257898397897261,train,0.7313956776582043,0.5387075392927795,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,2.0,0.7079487264650364,train,0.5909163966696346,0.48924609783646605,0.0,0.8218946723745795,train,0.9548458239696411,1.0,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,3.0,0.5008415068190171,train,0.7003044249646319,0.6817925145290874,7.0,0.6791297534873584,train,0.977066728429116,0.41013368031352226,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.8233771290788721,train,0.6945536402100707,0.0,3.0,0.5896390012833619,train,1.0,0.23220992049943673,2.0,0.5044807354937131,train,0.5283450763075609,1.0,3.0,0.018470345869585746,train,1.0,0.04779044613392672,1.0,0.81881800197832,train,1.0,0.7825658122418849,6.0,0.7609902317611498,train,0.7954565085531965,0.560107605584926,6.0,0.09392401230330491,train,0.3591313892271929,0.0,3.0,0.0,train,0.3556588512375283,1.0000000000000002,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8751275197331313,0.8115104490973539,0.7380308691314003
5.0,28.0,West Godavari,Andhra Pradesh,0.905,0.0,0.0,train,0.0,0.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,0.0,0.05422902822180187,train,0.20077811346375335,0.4017383062984414,0.0,1.0,train,1.0,1.0,1.0,0.1415357061748207,train,0.15962041075973243,1.0,6.0,0.15931667659163146,train,0.6395629888592239,0.6189476002310216,2.0,0.610564056844926,train,0.16060984726611022,1.0,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,1.0,0.4416269057487946,train,0.22190955814569666,0.6951067152524736,3.0,0.7370923872861153,train,0.6480984140789344,0.8512946504701522,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,1.0,0.0,train,0.0,0.0,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,2.0,0.9257898397897261,train,0.7313956776582043,0.5387075392927795,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,2.0,0.7079487264650364,train,0.5909163966696346,0.48924609783646605,0.0,0.8218946723745795,train,0.9548458239696411,1.0,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,1.0,0.7896112940106816,train,0.9999999999999998,0.43078730904817913,2.0,0.632410359706306,train,0.9634252569235973,1.0,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,3.0,0.5896390012833619,train,1.0,0.23220992049943673,2.0,0.5044807354937131,train,0.5283450763075609,1.0,6.0,0.0,train,0.5865167776045035,0.08764628672197566,1.0,0.81881800197832,train,1.0,0.7825658122418849,4.0,0.7340190483663944,train,0.7420058471545964,0.6566883127936272,9.0,0.0,train,0.4360853902076853,0.22430302593140267,9.0,0.4722424631393224,train,0.47427754127771393,0.6998670412044731,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8727103676160549,0.8515411270809202,0.7306331788056568
6.0,28.0,Krishna,Andhra Pradesh,0.843,1.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.0,1.0,0.0,train,0.0,0.9999999999999999,1.0,1.0,train,1.0,0.003309298123712112,2.0,0.07401075514824229,train,0.14436990173837627,0.47374728090681456,1.0,0.1415357061748207,train,0.15962041075973243,1.0,0.0,0.711558139726415,train,0.9636531766427974,0.5556241144476435,4.0,0.06641943003423811,train,0.380571579825463,0.40744168826360405,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,2.0,1.0,train,1.0,0.5321796132415612,2.0,0.0,train,0.24418913877745685,0.6427974201073964,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,0.0,1.0,train,0.9999999999999999,0.9999999999999998,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,1.0,0.9999999999999999,train,1.0,0.29167493520417875,2.0,0.7601870276355337,train,0.29860864022713574,0.27301763410493607,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,0.0,0.9999999999999999,train,0.8278747434708986,0.5062694766936853,6.0,0.724461231138251,train,0.5586815802441933,0.23721351891767706,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,0.0,1.0,train,0.8490805882397465,0.5144879021076518,6.0,0.2527315352507055,train,0.0,0.3809229053394669,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,1.0,1.0,train,0.0,0.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,3.0,0.5091877350172672,train,1.0,0.24636617251347231,0.0,0.5961366990178785,train,0.29915381492438237,1.0,2.0,0.5044807354937131,train,0.5283450763075609,1.0,3.0,0.018470345869585746,train,1.0,0.04779044613392672,4.0,0.22832846735824686,train,0.5141396000934406,0.4721038835666545,4.0,0.7340190483663944,train,0.7420058471545964,0.6566883127936272,4.0,0.08559900772979614,train,0.9999999999999998,0.2725321888412016,3.0,0.0,train,0.3556588512375283,1.0000000000000002,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8725248135377468,0.8792320881704582,0.7187455074366379
7.0,28.0,Guntur,Andhra Pradesh,0.866,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.0,train,0.0,0.9999999999999999,1.0,1.0,train,1.0,0.003309298123712112,0.0,1.0,train,1.0,1.0,1.0,0.1415357061748207,train,0.15962041075973243,1.0,5.0,1.0,train,1.0,0.5052464411191507,0.0,0.5357243963607361,train,1.0,0.9601221458594535,4.0,0.5451652923434628,train,0.31663166215927785,0.7610826332104597,2.0,1.0,train,1.0,0.5321796132415612,1.0,0.619311472612271,train,1.0,0.6220478649634061,0.0,0.5653218873441384,train,0.3054624841468544,0.8130565874065212,0.0,1.0,train,0.9999999999999999,0.9999999999999998,0.0,1.0000000000000002,train,1.0000000000000002,1.0,0.0,1.0,train,1.0,1.0000000000000002,1.0,0.9999999999999999,train,1.0,0.29167493520417875,0.0,0.9999999999999999,train,1.0,1.0,1.0,0.8659271607938395,train,0.2780363384648143,0.9044011184706067,6.0,0.8204849516716728,train,1.0,0.3836766904102033,5.0,1.0,train,1.0,0.6992606530826161,4.0,0.7489816217735947,train,0.3612019700717623,0.8983582084595362,8.0,0.665789348555416,train,0.9910157561696209,0.39570055989493336,9.0,0.9435859775846211,train,0.9201228608213141,0.6887387813590564,1.0,0.9498644478249845,train,0.5681643928637595,0.7815124968604816,0.0,0.0,train,1.0,1.0,1.0,1.0,train,1.0,1.0,0.0,1.0,train,1.0,1.0,1.0,0.8233771290788721,train,0.6945536402100707,0.0,3.0,0.5896390012833619,train,1.0,0.23220992049943673,2.0,0.5044807354937131,train,0.5283450763075609,1.0,3.0,0.018470345869585746,train,1.0,0.04779044613392672,1.0,0.81881800197832,train,1.0,0.7825658122418849,4.0,0.7340190483663944,train,0.7420058471545964,0.6566883127936272,3.0,0.05548343215467723,train,0.5420061021097244,0.1442079245861433,9.0,0.4722424631393224,train,0.47427754127771393,0.6998670412044731,1.0,0.6767961809928129,train,1.0,0.47111786286897606,0.8568461340117693,0.8441798713027175,0.7276489770976293
