dc,st,district,state,HDI,1_socioeconomic_scores,2_socioeconomic_scores,3_socioeconomic_scores,4_socioeconomic_scores,5_socioeconomic_scores,6_socioeconomic_scores,7_socioeconomic_scores,8_socioeconomic_scores,9_socioeconomic_scores,10_socioeconomic_scores,11_socioeconomic_scores,12_socioeconomic_scores,13_socioeconomic_scores,14_socioeconomic_scores,15_socioeconomic_scores,16_socioeconomic_scores,17_socioeconomic_scores,18_socioeconomic_scores,19_socioeconomic_scores,20_socioeconomic_scores,21_socioeconomic_scores,22_socioeconomic_scores,23_socioeconomic_scores,24_socioeconomic_scores,25_socioeconomic_scores,26_socioeconomic_scores,27_socioeconomic_scores,28_socioeconomic_scores,29_socioeconomic_scores,30_socioeconomic_scores,31_socioeconomic_scores,32_socioeconomic_scores,33_socioeconomic_scores,34_socioeconomic_scores,35_socioeconomic_scores,36_socioeconomic_scores,1_socioeconomic_ranks,2_socioeconomic_ranks,3_socioeconomic_ranks,4_socioeconomic_ranks,5_socioeconomic_ranks,6_socioeconomic_ranks,7_socioeconomic_ranks,8_socioeconomic_ranks,9_socioeconomic_ranks,10_socioeconomic_ranks,11_socioeconomic_ranks,12_socioeconomic_ranks,13_socioeconomic_ranks,14_socioeconomic_ranks,15_socioeconomic_ranks,16_socioeconomic_ranks,17_socioeconomic_ranks,18_socioeconomic_ranks,19_socioeconomic_ranks,20_socioeconomic_ranks,21_socioeconomic_ranks,22_socioeconomic_ranks,23_socioeconomic_ranks,24_socioeconomic_ranks,25_socioeconomic_ranks,26_socioeconomic_ranks,27_socioeconomic_ranks,28_socioeconomic_ranks,29_socioeconomic_ranks,30_socioeconomic_ranks,31_socioeconomic_ranks,32_socioeconomic_ranks,33_socioeconomic_ranks,34_socioeconomic_ranks,35_socioeconomic_ranks,36_socioeconomic_ranks
1.0,35.0,Nicobars,Andaman & Nicobar Islands,0.803,0.223959436555425,0.223959436555425,0.523959436555425,0.024621296180167406,0.223959436555425,0.27500951359757453,0.33792342722850166,0.36871437764621195,0.22050521729798925,0.2959724386697729,0.24894871739343744,0.24653423774035021,0.24992839232186015,0.2499283923218602,0.24992839232186026,0.10826337936269595,0.2499283923218602,0.3263217057693866,0.2832246025800845,0.26805692548627336,0.3215218742551445,0.26261374991422154,0.28649991606490255,0.2420622562906649,0.3653790746048855,0.21537907460488553,0.21537907460488553,0.11343473560044276,0.10054315205917676,0.3110741716698098,0.16949655008837655,0.2997360257897563,0.37160084669358073,0.2691409067276884,0.33778299344676715,0.2689866633466785,505.0,511.0,221.0,520.0,518.0,282.0,109.0,67.0,255.0,293.0,303.0,264.0,457.0,354.0,332.0,475.0,349.0,228.0,180.0,295.0,171.0,182.0,129.0,211.0,400.0,590.0,591.0,570.0,590.0,231.0,591.0,326.0,99.0,456.0,300.0,224.0
2.0,35.0,North & Middle Andaman,Andaman & Nicobar Islands,,0.3388608517991493,0.23886085179914934,0.5388608517991493,0.3536146571143808,0.23886085179914934,0.45685887035559714,0.30439908428921686,0.2762328320752104,0.3160756611991789,0.3944981208586852,0.19853435027742006,0.21650965999878766,0.3640518100858992,0.26405181008589923,0.2640518100858993,0.20084417469925417,0.26405181008589923,0.34044512353342565,0.22612089330311072,0.2821803432503124,0.2801837795737415,0.167843439719584,0.17648247005577294,0.25618567405470394,0.35,0.2,0.3,0.09805566099555724,0.08516407745429123,0.11765293888175302,0.20662275086103654,0.17145544896285583,0.1494686422768648,0.26244367835818166,0.23382882826819817,0.12313619379790443,81.0,356.0,165.0,98.0,371.0,171.0,191.0,398.0,149.0,71.0,447.0,276.0,103.0,248.0,218.0,232.0,274.0,189.0,285.0,239.0,304.0,444.0,422.0,143.0,401.0,591.0,119.0,590.0,591.0,330.0,588.0,591.0,449.0,515.0,591.0,471.0
3.0,35.0,South Andaman,Andaman & Nicobar Islands,0.95,0.36482599807795885,0.36482599807795885,0.5648259980779589,0.3795798033931903,0.4488976080741595,0.48282401663440666,0.3303642305680264,0.36272633502591656,0.5648259980779589,0.4204632671374947,0.3714660117365848,0.5265058156918753,0.4278007099657986,0.32780070996579863,0.3278007099657987,0.2645930745791536,0.2838571530327997,0.5993852837485234,0.2898697931830101,0.38647679654999345,0.6278007099657986,0.2315923395994834,0.31778701974606927,0.4544125743993921,0.4417391841657696,0.29173918416576966,0.39173918416576964,0.18979484516132689,0.40761832831330913,0.20939212304752267,0.2983619350268062,0.30797723711818015,0.24120782644263444,0.3541828625239513,0.338972875939223,0.3408016069838753,7.0,3.0,13.0,61.0,3.0,15.0,126.0,76.0,8.0,33.0,53.0,9.0,8.0,71.0,74.0,167.0,227.0,11.0,163.0,58.0,11.0,259.0,91.0,4.0,82.0,183.0,13.0,103.0,58.0,236.0,152.0,286.0,245.0,45.0,296.0,121.0
1.0,28.0,Srikakulam,Andhra Pradesh,0.86,0.227616345155862,0.227616345155862,0.527616345155862,0.0282782047806044,0.227616345155862,0.4491255603442254,0.16679652135419143,0.264988325431923,0.3018410163787484,0.21535324074768497,0.1872898436341327,0.3116851506834457,0.22597917537421774,0.2259791753742178,0.22597917537421786,0.08431416241505355,0.2259791753742178,0.3023724888217442,0.14135810229489937,0.165831305990741,0.2975726573075021,0.17529654188742796,0.17432079493626135,0.22744499737240143,0.4186835858561794,0.2686835858561794,0.2686835858561794,0.16673924685173663,0.3845627300037189,0.36437868292110365,0.27030336291632456,0.2849216388085899,0.24524499430611954,0.25917722885444916,0.31591727762963273,0.1918197796540838,461.0,459.0,212.0,485.0,472.0,213.0,423.0,448.0,201.0,421.0,513.0,210.0,558.0,540.0,535.0,565.0,476.0,274.0,513.0,540.0,280.0,410.0,432.0,255.0,374.0,549.0,561.0,369.0,237.0,225.0,335.0,390.0,234.0,540.0,470.0,459.0
2.0,28.0,Vizianagaram,Andhra Pradesh,0.813,0.23049204583592314,0.23049204583592314,0.5304920458359231,0.45600251932115277,0.23049204583592314,0.45200126102428656,0.4517893929459352,0.3752469869267101,0.30471671705880954,0.41714276935245065,0.2554813266739356,0.31456085136350687,0.2214428797062009,0.22144287970620097,0.22144287970620102,0.44994064185113286,0.22144287970620097,0.2978361931537274,0.4461752238201635,0.23957141287061415,0.29303636163948527,0.4081895602426815,0.2580144034492433,0.2229087017043846,0.42328549311468644,0.2732854931146865,0.2732854931146865,0.5732854931146865,0.15844957056897768,0.3689805901796107,0.32510151786952757,0.3576424442995572,0.2498469015646266,0.32704732523748936,0.3956894119565681,0.19642168691259088,428.0,427.0,201.0,36.0,442.0,196.0,34.0,48.0,193.0,38.0,291.0,203.0,571.0,563.0,562.0,57.0,493.0,280.0,44.0,377.0,290.0,58.0,186.0,265.0,344.0,513.0,527.0,42.0,550.0,212.0,115.0,100.0,209.0,169.0,235.0,447.0
3.0,28.0,Visakhapatnam,Andhra Pradesh,0.852,0.35857861840945143,0.35857861840945143,0.5585786184094514,0.29487840773328844,0.4426502284056521,0.4800878335978149,0.3725426090825281,0.35647895535740914,0.33280328963233785,0.33059162052379937,0.32640009604274783,0.3426474239370352,0.38189269554514355,0.38189269554514355,0.2818926955451436,0.3621108362111092,0.34655529322080586,0.5534772693278682,0.31518890580336784,0.2778175162782851,0.35348617747842787,0.2945780531375049,0.23386461733585104,0.408504559978737,0.4297894218696736,0.3797894218696736,0.27978942186967365,0.17784508286523087,0.3797894218696736,0.3754845189345979,0.23390689735316467,0.3285255291435307,0.22925806414653843,0.26064099063371304,0.4589329292424774,0.20292561566757805,15.0,11.0,32.0,163.0,7.0,24.0,57.0,90.0,62.0,161.0,117.0,130.0,56.0,11.0,138.0,75.0,125.0,71.0,128.0,258.0,67.0,134.0,242.0,26.0,261.0,67.0,434.0,266.0,266.0,187.0,499.0,169.0,338.0,528.0,122.0,418.0
4.0,28.0,East Godavari,Andhra Pradesh,0.869,0.33329706352041616,0.23329706352041618,0.5332970635204162,0.3480508688356476,0.23329706352041618,0.4548062787087796,0.2988352960104837,0.2706690437964772,0.3075217347433026,0.3543242695003481,0.1929705619986869,0.3173658690479999,0.3520255212981431,0.2520255212981431,0.25202552129814315,0.18881788591149803,0.2520255212981431,0.3284188347456695,0.2140946045153546,0.27015405446255625,0.3236190032314274,0.26471087889050443,0.1644561812680168,0.2534913432963267,0.42536377388956315,0.2753637738895632,0.2753637738895632,0.11693141419961331,0.1605278513438544,0.3710588709544874,0.2294812493730542,0.246819222852419,0.22483241616642796,0.27033506868907903,0.4966583862665205,0.19849996768746758,105.0,406.0,190.0,111.0,422.0,180.0,218.0,426.0,187.0,122.0,480.0,198.0,147.0,336.0,313.0,256.0,335.0,222.0,307.0,285.0,161.0,176.0,463.0,157.0,326.0,487.0,503.0,550.0,534.0,207.0,543.0,549.0,371.0,443.0,58.0,439.0
5.0,28.0,West Godavari,Andhra Pradesh,0.905,0.3339854028111094,0.2339854028111094,0.5339854028111094,0.34873920812634085,0.2339854028111094,0.45549461799947283,0.2995236353011769,0.37874034390189637,0.3082100740339958,0.3266223234608919,0.25897468364912185,0.31805420833869313,0.34009062254888583,0.24009062254888586,0.2400906225488859,0.1768829871622408,0.24009062254888586,0.3164839359964123,0.20215970576609735,0.258219155713299,0.31168410448217015,0.1438822521825706,0.2766621462919282,0.24155644454706948,0.4278231991889345,0.27782319918893456,0.27782319918893456,0.17587886018449178,0.16298727664322576,0.3735182962538588,0.2844459500499711,0.24927864815179038,0.2543846076388747,0.33158503131173744,0.3250568909623879,0.20095939298683896,99.0,398.0,186.0,108.0,411.0,178.0,213.0,41.0,183.0,167.0,283.0,196.0,209.0,438.0,423.0,298.0,411.0,250.0,334.0,326.0,220.0,550.0,146.0,216.0,300.0,455.0,478.0,298.0,511.0,200.0,273.0,540.0,195.0,148.0,384.0,430.0
6.0,28.0,Krishna,Andhra Pradesh,0.843,0.23403831702006,0.33403831702006,0.53403831702006,0.03470017664480242,0.3702675824412647,0.4555475322084234,0.17321849321838945,0.3141431598285913,0.3082629882429464,0.14047423966837225,0.40371869709338937,0.31810712254764373,0.23213225034570273,0.23213225034570278,0.23213225034570284,0.09046723738653853,0.1881886934127038,0.3085255637932292,0.14751117726638435,0.14601268967210057,0.3037257322789871,0.14727262424417314,0.3477935201998826,0.2335980723438864,0.23181970261054793,0.28181970261054795,0.28181970261054795,0.17987536360610518,0.40069306796185633,0.3775147996754722,0.23593717809403897,0.31860715084174895,0.2583811110604881,0.26267127137458735,0.5031143149875053,0.20495589640845235,401.0,100.0,185.0,432.0,185.0,177.0,398.0,270.0,182.0,517.0,23.0,195.0,536.0,498.0,488.0,546.0,567.0,264.0,492.0,574.0,253.0,537.0,72.0,241.0,506.0,370.0,394.0,235.0,120.0,173.0,484.0,225.0,176.0,512.0,47.0,404.0
7.0,28.0,Guntur,Andhra Pradesh,0.866,0.23854758435986906,0.23854758435986906,0.538547584359869,0.03920944398461147,0.23854758435986906,0.4600567995482325,0.13959687258369918,0.2759195646359301,0.31277225558275545,0.1449835070081813,0.19822108283813977,0.3226163898874528,0.24224645630342223,0.2422464563034223,0.24224645630342234,0.10058144334425803,0.2422464563034223,0.3186397697509487,0.1337730494433655,0.1820985869199455,0.3138399382367066,0.15215822736002949,0.19058807586546583,0.2437122783016059,0.42882128444862333,0.27882128444862336,0.27882128444862336,0.1203889247586735,0.16398536190291457,0.3745163815135476,0.23293875993211438,0.25027673341147916,0.2553826928985635,0.28644457567325204,0.3260549762220767,0.20195747824652777,361.0,357.0,167.0,398.0,372.0,151.0,505.0,400.0,171.0,497.0,449.0,189.0,489.0,419.0,404.0,505.0,397.0,244.0,539.0,490.0,207.0,519.0,372.0,205.0,279.0,432.0,456.0,522.0,494.0,194.0,515.0,534.0,189.0,294.0,370.0,422.0
